basis_columns,prediction_columns,rmse,,
['Vehicle Category'],"['CPI', 'Fuel Type', 'Fuel Technology', 'GVWR Class', 'Electric Mile Range', 'Number of Vehicles Registered at the Same Address']",10346.86175,,
"['Vehicle Category', 'Region']","['Model Year', 'Fuel Technology', 'Electric Mile Range', 'CPI', 'Number of Vehicles Registered at the Same Address', 'Fuel Type']",10358.78981,,
"['Region', 'Vehicle Category']","['Electric Mile Range', 'Fuel Type', 'CPI', 'Number of Vehicles Registered at the Same Address', 'GVWR Class']",10361.37603,,
['Region'],"['Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'Model Year', 'GVWR Class', 'Fuel Type', 'Electric Mile Range']",10393.00241,,
['Region'],"['Vehicle Category', 'Fuel Type', 'Fuel Technology', 'Model Year', 'Number of Vehicles Registered at the Same Address', 'GVWR Class', 'Electric Mile Range']",10423.20712,,
"['Number of Vehicles Registered at the Same Address', 'Fuel Technology']","['GVWR Class', 'Vehicle Category', 'Model Year', 'Electric Mile Range', 'Fuel Type', 'CPI']",10463.93236,,
"['Fuel Technology', 'Number of Vehicles Registered at the Same Address']","['Model Year', 'Electric Mile Range', 'CPI', 'Vehicle Category', 'GVWR Class', 'Fuel Type']",10467.28752,,
['Region'],"['Vehicle Category', 'CPI', 'Fuel Technology', 'Fuel Type', 'Electric Mile Range', 'Model Year', 'GVWR Class']",10492.18783,,
['Fuel Type'],"['Vehicle Category', 'Region', 'Model Year', 'GVWR Class', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address']",10504.08097,,
"['Vehicle Category', 'Region']","['Model Year', 'Fuel Type', 'CPI', 'Fuel Technology']",10533.44249,,
"['Region', 'Vehicle Category']","['Number of Vehicles Registered at the Same Address', 'GVWR Class', 'Fuel Type', 'Electric Mile Range', 'CPI']",10589.06037,,
"['Number of Vehicles Registered at the Same Address', 'Fuel Type']","['Model Year', 'CPI', 'GVWR Class', 'Vehicle Category', 'Electric Mile Range', 'Region']",10652.00385,,
['GVWR Class'],"['CPI', 'Fuel Technology', 'Region', 'Fuel Type', 'Vehicle Category']",10668.0371,,
['Region'],"['Electric Mile Range', 'Model Year', 'Vehicle Category', 'Fuel Type', 'GVWR Class', 'CPI', 'Number of Vehicles Registered at the Same Address']",10693.66647,,
"['GVWR Class', 'Number of Vehicles Registered at the Same Address']","['Vehicle Category', 'Electric Mile Range', 'Fuel Type', 'Fuel Technology', 'Model Year', 'Region']",10723.94424,,
['GVWR Class'],"['Fuel Technology', 'CPI', 'Number of Vehicles Registered at the Same Address', 'Fuel Type', 'Region', 'Vehicle Category']",10745.13592,,
"['Number of Vehicles Registered at the Same Address', 'Vehicle Category']","['Region', 'CPI', 'GVWR Class', 'Fuel Technology', 'Fuel Type', 'Electric Mile Range']",10761.21295,,
['GVWR Class'],"['Model Year', 'Fuel Type', 'Fuel Technology', 'Region', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range']",10817.63115,,
['GVWR Class'],"['Model Year', 'Region', 'Fuel Type', 'Electric Mile Range', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address']",10842.14269,,
['Vehicle Category'],"['Fuel Type', 'Model Year', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range']",10855.51962,,
['GVWR Class'],"['Region', 'Electric Mile Range', 'Number of Vehicles Registered at the Same Address', 'Fuel Technology', 'Fuel Type', 'Model Year', 'Vehicle Category']",10861.74421,,
['GVWR Class'],"['Region', 'Fuel Type', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'Model Year', 'Electric Mile Range']",10870.59679,,
"['Fuel Type', 'Region']","['Model Year', 'GVWR Class', 'Electric Mile Range', 'Fuel Technology', 'Vehicle Category']",10884.1415,,
"['Vehicle Category', 'Electric Mile Range']","['Fuel Type', 'Number of Vehicles Registered at the Same Address', 'Model Year', 'GVWR Class', 'Region', 'Fuel Technology']",10886.03723,,
['Region'],"['Vehicle Category', 'CPI', 'Model Year', 'Fuel Technology', 'Fuel Type', 'Electric Mile Range']",10949.45336,,
['Region'],"['Electric Mile Range', 'Model Year', 'Fuel Technology', 'Fuel Type', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address']",10986.56218,,
['Region'],"['Electric Mile Range', 'Vehicle Category', 'CPI', 'Model Year', 'Fuel Type', 'Fuel Technology']",11005.08784,,
['GVWR Class'],"['Vehicle Category', 'Model Year', 'Fuel Technology', 'Fuel Type']",11013.89583,,
['Electric Mile Range'],"['Vehicle Category', 'Fuel Type', 'Model Year', 'Region', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'CPI']",11073.75216,,
['Fuel Type'],"['Region', 'Electric Mile Range', 'CPI', 'GVWR Class', 'Fuel Technology', 'Vehicle Category']",11097.46467,,
