basis_columns,prediction_columns,rmse,,
"['Electric Mile Range', 'Fuel Technology']","['Model Year', 'Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'GVWR Class', 'CPI']",16464.42908,,
['Number of Vehicles Registered at the Same Address'],"['Vehicle Category', 'CPI', 'Model Year', 'Electric Mile Range', 'GVWR Class']",16489.31373,,
['Electric Mile Range'],"['GVWR Class', 'Region', 'Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'CPI', 'Model Year', 'Fuel Technology']",16489.42421,,
"['Vehicle Category', 'Number of Vehicles Registered at the Same Address']","['CPI', 'Model Year', 'Fuel Technology']",16496.78486,,
['Number of Vehicles Registered at the Same Address'],"['GVWR Class', 'Vehicle Category', 'Region', 'CPI', 'Fuel Technology', 'Model Year']",16520.36424,,
['Fuel Technology'],"['Region', 'CPI', 'Model Year', 'Electric Mile Range', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'Vehicle Category']",16529.71519,,
"['Electric Mile Range', 'Fuel Technology']","['Vehicle Category', 'GVWR Class', 'Region', 'CPI']",16536.74536,,
"['Number of Vehicles Registered at the Same Address', 'Electric Mile Range']","['Vehicle Category', 'CPI', 'GVWR Class', 'Region']",16558.34072,,
"['Vehicle Category', 'Fuel Technology']","['Model Year', 'GVWR Class', 'Electric Mile Range', 'Number of Vehicles Registered at the Same Address']",16560.4231,,
['Region'],"['Number of Vehicles Registered at the Same Address', 'GVWR Class', 'CPI', 'Electric Mile Range', 'Fuel Technology', 'Vehicle Category']",16594.85257,,
"['Number of Vehicles Registered at the Same Address', 'Electric Mile Range']","['Model Year', 'Fuel Technology', 'CPI', 'Vehicle Category']",16600.35775,,
['Region'],"['GVWR Class', 'CPI', 'Vehicle Category', 'Electric Mile Range']",16600.83478,,
['Fuel Technology'],"['CPI', 'GVWR Class', 'Vehicle Category']",16603.36041,,
['Fuel Technology'],"['CPI', 'Region', 'GVWR Class', 'Vehicle Category']",16603.36041,,
['Fuel Technology'],"['Electric Mile Range', 'Vehicle Category', 'Model Year', 'Number of Vehicles Registered at the Same Address', 'CPI']",16643.37925,,
['Electric Mile Range'],"['Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'CPI', 'Fuel Technology', 'Region', 'Model Year']",16689.64757,,
"['Region', 'Number of Vehicles Registered at the Same Address']","['Fuel Technology', 'CPI', 'GVWR Class', 'Vehicle Category']",16720.26749,,
"['Region', 'GVWR Class']","['Electric Mile Range', 'Model Year', 'Vehicle Category']",16722.03598,,
"['Electric Mile Range', 'Region']","['Fuel Technology', 'Vehicle Category', 'CPI', 'Number of Vehicles Registered at the Same Address']",16723.08865,,
['Electric Mile Range'],"['Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'CPI']",16727.44254,,
"['Fuel Technology', 'Electric Mile Range']","['GVWR Class', 'Region', 'Vehicle Category', 'Model Year']",16735.90545,,
['Fuel Technology'],"['Number of Vehicles Registered at the Same Address', 'CPI', 'Vehicle Category', 'Electric Mile Range']",16742.33014,,
['Electric Mile Range'],"['Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'CPI']",16745.84386,,
['Fuel Technology'],"['GVWR Class', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range', 'Model Year']",16759.23856,,
"['Fuel Technology', 'Electric Mile Range']","['Region', 'Vehicle Category', 'GVWR Class', 'Model Year']",16773.35506,,
"['Region', 'Vehicle Category']","['Number of Vehicles Registered at the Same Address', 'Fuel Technology', 'Electric Mile Range', 'Model Year']",16783.80533,,
['GVWR Class'],"['Model Year', 'Vehicle Category', 'Fuel Technology']",16788.11147,,
['GVWR Class'],"['Vehicle Category', 'Electric Mile Range', 'Fuel Technology', 'Model Year']",16803.71978,,
['Fuel Technology'],"['Vehicle Category', 'Model Year', 'Electric Mile Range', 'Number of Vehicles Registered at the Same Address']",16902.441,,
"['Vehicle Category', 'Electric Mile Range']","['Model Year', 'Region', 'Number of Vehicles Registered at the Same Address']",16918.77505,,
['Number of Vehicles Registered at the Same Address'],"['Vehicle Category', 'Fuel Technology', 'Region', 'CPI', 'Electric Mile Range']",16978.58965,,
['GVWR Class'],"['Model Year', 'Fuel Type', 'CPI', 'Region', 'Fuel Technology', 'Electric Mile Range', 'Number of Vehicles Registered at the Same Address']",17321.09492,,
['GVWR Class'],"['Region', 'Model Year', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address', 'Fuel Type', 'CPI']",17321.14497,,
"['Number of Vehicles Registered at the Same Address', 'GVWR Class']","['CPI', 'Fuel Type', 'Fuel Technology', 'Model Year', 'Electric Mile Range']",17331.56294,,
"['Fuel Technology', 'GVWR Class', 'Fuel Type']","['CPI', 'Region', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range']",17359.84238,,
['Fuel Technology'],"['GVWR Class', 'Region', 'Fuel Type', 'Model Year', 'CPI', 'Electric Mile Range', 'Number of Vehicles Registered at the Same Address']",17372.97014,,
"['GVWR Class', 'Electric Mile Range']","['Model Year', 'CPI', 'Region', 'Fuel Technology', 'Fuel Type']",17384.98376,,
['Fuel Type'],"['Number of Vehicles Registered at the Same Address', 'GVWR Class', 'Model Year', 'CPI', 'Fuel Technology']",17389.73778,,
['Fuel Technology'],"['Model Year', 'GVWR Class', 'Region', 'Fuel Type', 'CPI', 'Electric Mile Range', 'Number of Vehicles Registered at the Same Address']",17390.05051,,
['Region'],"['Fuel Technology', 'CPI', 'Model Year', 'Fuel Type', 'GVWR Class', 'Electric Mile Range', 'Number of Vehicles Registered at the Same Address']",17400.2776,,
['Electric Mile Range'],"['Fuel Technology', 'GVWR Class', 'Model Year', 'Fuel Type', 'Region', 'Number of Vehicles Registered at the Same Address', 'CPI']",17409.4986,,
['Number of Vehicles Registered at the Same Address'],"['Fuel Technology', 'GVWR Class', 'Model Year', 'CPI', 'Fuel Type', 'Electric Mile Range', 'Region']",17448.5454,,
['Number of Vehicles Registered at the Same Address'],"['Electric Mile Range', 'Region', 'Fuel Type', 'Fuel Technology', 'Model Year', 'GVWR Class', 'CPI']",17465.03988,,
"['Fuel Type', 'GVWR Class']","['Region', 'Fuel Technology', 'CPI']",17500.89118,,
"['Electric Mile Range', 'Fuel Type']","['GVWR Class', 'Model Year', 'Number of Vehicles Registered at the Same Address', 'Region', 'Fuel Technology']",17539.86264,,
['Region'],"['Fuel Technology', 'GVWR Class', 'Model Year', 'Electric Mile Range', 'Fuel Type', 'Number of Vehicles Registered at the Same Address']",17556.30672,,
"['Fuel Technology', 'Number of Vehicles Registered at the Same Address']","['GVWR Class', 'Model Year', 'Electric Mile Range', 'Region', 'Fuel Type']",17560.49869,,
['Number of Vehicles Registered at the Same Address'],"['Electric Mile Range', 'Model Year', 'Fuel Type', 'Region', 'GVWR Class']",17561.80906,,
['Electric Mile Range'],"['GVWR Class', 'Region', 'CPI', 'Fuel Type']",17562.66712,,
['Fuel Technology'],"['Electric Mile Range', 'CPI', 'Fuel Type', 'GVWR Class']",17570.92452,,
['Fuel Technology'],"['Region', 'Electric Mile Range', 'Fuel Type', 'GVWR Class', 'CPI']",17570.92452,,
['Fuel Type'],"['GVWR Class', 'Fuel Technology', 'CPI']",17587.69374,,
['Region'],"['Fuel Type', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'Fuel Technology', 'Electric Mile Range', 'CPI']",17601.75632,,
"['GVWR Class', 'Region']","['Model Year', 'Electric Mile Range', 'Fuel Type', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address']",17606.35314,,
['GVWR Class'],"['Model Year', 'Region', 'Electric Mile Range', 'Fuel Type', 'Number of Vehicles Registered at the Same Address']",17613.67567,,
['Region'],"['CPI', 'Fuel Technology', 'Electric Mile Range', 'Fuel Type', 'GVWR Class', 'Number of Vehicles Registered at the Same Address']",17632.41881,,
"['Electric Mile Range', 'GVWR Class']","['Fuel Type', 'Region', 'Model Year', 'Number of Vehicles Registered at the Same Address']",17638.26431,,
['GVWR Class'],"['Model Year', 'Fuel Type', 'CPI', 'Number of Vehicles Registered at the Same Address']",17649.4741,,
['Region'],"['Electric Mile Range', 'GVWR Class', 'CPI', 'Fuel Type']",17668.51865,,
"['GVWR Class', 'Number of Vehicles Registered at the Same Address']","['Model Year', 'Fuel Type', 'Fuel Technology', 'Region']",17676.56352,,
['GVWR Class'],"['Electric Mile Range', 'Fuel Type', 'Model Year']",17702.5364,,
"['Fuel Technology', 'GVWR Class']","['Model Year', 'Fuel Type', 'Electric Mile Range']",17722.37375,,
"['Electric Mile Range', 'GVWR Class']","['Region', 'Number of Vehicles Registered at the Same Address', 'Vehicle Category']",17751.67903,,
"['Fuel Technology', 'GVWR Class']","['Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'Region']",17751.91641,,
"['Vehicle Category', 'Region']","['GVWR Class', 'Number of Vehicles Registered at the Same Address', 'Fuel Technology']",17759.84706,,
"['Electric Mile Range', 'Vehicle Category']","['Fuel Technology', 'Number of Vehicles Registered at the Same Address', 'GVWR Class']",17760.33545,,
"['Vehicle Category', 'Fuel Technology']","['Number of Vehicles Registered at the Same Address', 'GVWR Class', 'Electric Mile Range']",17760.85773,,
['Vehicle Category'],"['GVWR Class', 'Electric Mile Range', 'Number of Vehicles Registered at the Same Address', 'Fuel Technology', 'Region']",17762.12831,,
['GVWR Class'],"['Fuel Type', 'Region', 'Model Year', 'Number of Vehicles Registered at the Same Address']",17796.40696,,
['Electric Mile Range'],"['Fuel Technology', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'GVWR Class', 'Region']",17885.085,,
['Number of Vehicles Registered at the Same Address'],"['GVWR Class', 'Fuel Type', 'CPI']",17896.08265,,
['GVWR Class'],"['Model Year', 'CPI', 'Vehicle Category']",17907.77379,,
['Fuel Technology'],"['Electric Mile Range', 'GVWR Class', 'Vehicle Category']",17946.97401,,
['Region'],"['Fuel Technology', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address']",17984.56009,,
['Region'],"['Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range']",17986.20694,,
['Vehicle Category'],"['Region', 'GVWR Class', 'Model Year']",18008.28026,,
['GVWR Class'],"['Region', 'Vehicle Category', 'Model Year']",18031.56251,,
['Electric Mile Range'],"['Fuel Technology', 'Vehicle Category', 'Region']",18086.35997,,
['Number of Vehicles Registered at the Same Address'],"['Region', 'GVWR Class', 'CPI', 'Vehicle Category']",18134.54388,,
"['Number of Vehicles Registered at the Same Address', 'GVWR Class']","['Fuel Type', 'Region', 'Electric Mile Range']",18372.86764,,
['GVWR Class'],"['Fuel Technology', 'Fuel Type', 'Number of Vehicles Registered at the Same Address', 'Region']",18383.69517,,
['Number of Vehicles Registered at the Same Address'],"['GVWR Class', 'Fuel Type', 'Electric Mile Range']",18398.65294,,
['Number of Vehicles Registered at the Same Address'],"['Fuel Type', 'Electric Mile Range', 'GVWR Class']",18403.72657,,
"['Electric Mile Range', 'Number of Vehicles Registered at the Same Address']","['CPI', 'Fuel Technology', 'Region', 'Fuel Type', 'Model Year']",18446.11496,,
['Number of Vehicles Registered at the Same Address'],"['Model Year', 'Fuel Type', 'Electric Mile Range', 'Fuel Technology', 'CPI']",18463.36058,,
['Number of Vehicles Registered at the Same Address'],"['CPI', 'Electric Mile Range', 'Model Year', 'Fuel Type']",18463.59948,,
['Fuel Type'],"['CPI', 'Model Year', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address']",18481.5728,,
"['Fuel Technology', 'Region']","['CPI', 'Number of Vehicles Registered at the Same Address', 'Fuel Type']",18482.86661,,
['GVWR Class'],"['Fuel Technology', 'Model Year', 'Number of Vehicles Registered at the Same Address', 'Region', 'CPI', 'Electric Mile Range']",18491.87095,,
"['Region', 'Fuel Type']","['GVWR Class', 'Fuel Technology', 'Electric Mile Range']",18494.14318,,
['Fuel Type'],"['Model Year', 'CPI', 'Electric Mile Range']",18504.94001,,
['Electric Mile Range'],"['CPI', 'Fuel Type', 'Region']",18514.37467,,
['Electric Mile Range'],"['Model Year', 'Number of Vehicles Registered at the Same Address', 'GVWR Class', 'Region', 'CPI', 'Fuel Technology']",18516.58529,,
"['GVWR Class', 'Electric Mile Range']","['CPI', 'Model Year', 'Fuel Technology']",18516.71635,,
"['Number of Vehicles Registered at the Same Address', 'GVWR Class']","['Model Year', 'CPI', 'Electric Mile Range', 'Fuel Technology', 'Region']",18520.56522,,
['Electric Mile Range'],"['Region', 'Number of Vehicles Registered at the Same Address', 'GVWR Class', 'CPI', 'Model Year']",18525.68342,,
"['Fuel Technology', 'GVWR Class']","['Model Year', 'Region', 'CPI']",18526.39774,,
['Electric Mile Range'],"['Model Year', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'CPI', 'Fuel Technology']",18531.1105,,
"['Number of Vehicles Registered at the Same Address', 'Fuel Technology']","['Model Year', 'Fuel Type', 'Electric Mile Range']",18552.41029,,
['Electric Mile Range'],"['GVWR Class', 'Model Year', 'CPI']",18555.22587,,
['Number of Vehicles Registered at the Same Address'],"['Fuel Technology', 'Fuel Type', 'Region', 'Model Year']",18564.6742,,
"['Number of Vehicles Registered at the Same Address', 'Region']","['CPI', 'Electric Mile Range', 'Fuel Type']",18567.59391,,
['Electric Mile Range'],"['GVWR Class', 'Number of Vehicles Registered at the Same Address', 'CPI']",18575.7158,,
['Electric Mile Range'],"['Fuel Technology', 'CPI', 'Number of Vehicles Registered at the Same Address', 'GVWR Class']",18582.3321,,
['GVWR Class'],"['Fuel Technology', 'Electric Mile Range', 'CPI']",18589.30085,,
['Fuel Type'],"['Model Year', 'Fuel Technology', 'Electric Mile Range']",18589.56517,,
['Electric Mile Range'],"['GVWR Class', 'CPI', 'Fuel Technology']",18594.71706,,
['Region'],"['CPI', 'Model Year', 'Fuel Type']",18604.44258,,
['Fuel Technology'],"['Region', 'Number of Vehicles Registered at the Same Address', 'Model Year', 'GVWR Class']",18606.92065,,
['Electric Mile Range'],"['Model Year', 'GVWR Class', 'Region']",18631.40434,,
['Number of Vehicles Registered at the Same Address'],"['CPI', 'Region', 'GVWR Class', 'Electric Mile Range']",18663.10364,,
['Number of Vehicles Registered at the Same Address'],"['Fuel Type', 'CPI', 'Region']",18669.02307,,
"['GVWR Class', 'Region']","['Model Year', 'Number of Vehicles Registered at the Same Address', 'Fuel Technology']",18679.51821,,
['GVWR Class'],"['Number of Vehicles Registered at the Same Address', 'Model Year', 'Region', 'Fuel Technology']",18681.92763,,
['GVWR Class'],"['Region', 'CPI', 'Model Year']",18787.08973,,
['Region'],"['Number of Vehicles Registered at the Same Address', 'CPI', 'Model Year', 'GVWR Class']",18792.29645,,
"['Region', 'Number of Vehicles Registered at the Same Address']","['GVWR Class', 'Model Year', 'CPI']",18815.86861,,
['Fuel Technology'],"['Fuel Type', 'Electric Mile Range', 'Number of Vehicles Registered at the Same Address']",19039.77706,,
['Fuel Technology'],"['Region', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range']",19044.0143,,
['Region'],"['Number of Vehicles Registered at the Same Address', 'Fuel Technology', 'GVWR Class']",19055.07377,,
['Fuel Technology'],"['CPI', 'Model Year', 'Electric Mile Range']",19170.85068,,
['Region'],"['Model Year', 'CPI', 'Electric Mile Range', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address']",19173.16579,,
['Fuel Technology'],"['Model Year', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range']",19195.60973,,
['Region'],"['Fuel Technology', 'Number of Vehicles Registered at the Same Address', 'Model Year']",19200.61778,,
['Number of Vehicles Registered at the Same Address'],"['Fuel Technology', 'Region', 'Electric Mile Range']",19419.66948,,
"['Number of Vehicles Registered at the Same Address', 'Region']","['Fuel Technology', 'Model Year', 'CPI']",19169.57831['Number of Vehicles Registered at the Same Address']['Vehicle Category'],,
